"id","kategorie","frage","option_a","option_b","option_c","option_d","option_e","richtig","erklaerung","is_free","mehrfach"
"1","Erste Hilfe","Bei einem Menschen stellen Sie eine Bewusstlosigkeit fest. Welches Erkennungszeichen ist zutreffend?","Es sind laute Atemgeräusche zu hören.","Die Person ist reaktionslos.","Es ist keinerlei Puls zu fühlen.","Die Atmung steht still.","","b","","1","0"
"2","Erste Hilfe","Welche Anzeichen weisen bei einem Notfallpatienten am ehesten auf eine Atemstörung hin?","Der Patient klagt über Schmerzen im Nierenbeckenbereich.","Der Patient klagt über starke Augenschmerzen.","Bei der Ausatmung des Patienten sind starke Atemgeräusche hörbar.","Der Patient lässt Urin unter sich.","","c","","1","0"
"3","Erste Hilfe","Welche Vorgehensweise ist bei der Überprüfung der Atmung einer bewusstlosen Person die richtige?","Ich versuche der Person sofort Luft in die Lungen zu blasen.","Sobald ich irgendein Atemgeräusch höre, ist die weitere Überprüfung sofort abzubrechen.","Ich lege der Person kurz die Hände auf den Brustkorb. Wenn ich dadurch Bewegungen feststelle, brauche ich nicht weiter zu prüfen.","Ich neige den Kopf nach hinten und hebe gleichzeitig das Kinn an. In dieser Position wird anschließend die Atmung durch Sehen, Hören und Fühlen überprüft.","","d","","1","0"
"4","Erste Hilfe","Was kann beim Tasten des Pulses festgestellt werden?","Der Herzrhythmus.","Die Atemfrequenz.","Den genauen Blutdruckwert.","Die Menge des Blutes im Körper.","","a","","1","0"
"5","Erste Hilfe","Welche Ursache kann „primär“ (unmittelbar) eine Störung des Herz-Kreislauf-Systems hervorrufen?","Eine Infektion des Wurmfortsatzes.","Ein Herzinfarkt.","Eine Hepatitis-Erkrankung.","Ein Darmverschluss.","","b","","1","0"
"6","Erste Hilfe","Welches Anzeichen gibt einen Hinweis auf einen Schock beim Menschen?","Die Person hat hochrote, heiße Haut.","Der Puls des Patienten ist schnell und nur schwach tastbar.","Die Person hat sehr trockene Haut.","Die Person hat eine rosiges Aussehen.","","b","","0","0"
"7","Erste Hilfe","Sie finden eine Person, die sehr lange mit unbedecktem Kopf in der prallen Sonne gelegen hat. Sie vermuten bei ihr einen Sonnenstich. Welches Anzeichen spricht dafür?","Die Person hat einen hochroten, heißen Kopf.","Bei der Person messe ich eine hohe Körpertemperatur.","Die Person hat heiße, trockene Körperhaut.","Die Person klagt über ständigen Harndrang.","","a","","0","0"
"8","Erste Hilfe","Welche Folgen hat es, wenn Sie einen großen Fremdkörper, z.B. einen Ast, aus einer Wunde am Oberschenkel entfernen würden?","Eine Infizierung der Wunde.","Es kann zu einer lebensbedrohlichen Blutung kommen.","Die Folge ist eine geringere Blutung aus der Wunde.","Der Oberschenkel des Patienten kann besser mit einem Verband versorgt werden.","","b","","0","0"
"9","Erste Hilfe","In welcher Reihenfolge führen Sie die Maßnahmen zur Stillung einer lebensbedrohlichen Blutung am Unterarm durch?","Hinlegen – Manueller Druck auf die Wunde – Druckverband – Hochlagern – Hochhalten","Hinlegen - Hochhalten – Manueller Druck auf die Wunde – Druckverband – Hochlagern","Hochhalten – Druckverband – Manueller Druck auf die Wunde – Hochlagern – Hinlegen","Hinlegen – Druckverband – Manueller Druck auf die Wunde – Hochhalten – Hochlagern","","b","","0","0"
"10","Erste Hilfe","Welches der nachfolgenden Anzeichen ist ein sicheres Anzeichen für einen Knochenbruch?","Eine Schwellung.","Starke Schmerzen.","Die Gebrauchsunfähigkeit / Bewegungsunfähigkeit des betroffenen Körperteils.","Eine Fehlstellung des betroffenen Körperteils.","","d","","0","0"
"11","Erste Hilfe","Welche Überlegungen müssen Sie als Erstes anstellen, bevor Sie eine Rettungsmaßnahme durchführen können?","Habe ich Schutzhandschuhe an?","Ist meine Einheit mit ausreichend Einsatzkräften besetzt?","Ist ein Notarzt in der Nähe?","Besteht Gefahr für mich oder andere Helfer?","","d","","0","0"
"12","Erste Hilfe","Wie hoch ist die Ruhepulsfrequenz eines Erwachsenen?","ca. 40–50 Schläge/ min.","ca. 60–80 Schläge/ min.","ca. 80–100 Schläge/ min.","ca. 90–110 Schläge/ min.","","b","","0","0"
"13","Erste Hilfe","Welches Organ reagiert sehr empfindlich auf Sauerstoffmangel?","Magen","Gehirn","Leber","Niere","","b","","0","0"
"14","Erste Hilfe","Welches Anzeichen gibt einen Hinweis auf eine Brustkorbverletzung?","Eine abnorme Haltung der Arme.","Die verletzte Person hat eine Atemstörung.","Abgang von Stuhl oder Urin.","Die verletzte Person versucht sich flach hinzulegen.","","b","","0","0"
"15","Erste Hilfe","Welche Lagerung sollte bei einer Verletzung im Bauchbereich angestrebt werden?","Die Beine der betroffenen Person sollten hochgelagert werden.","Der Oberkörper der betroffenen Person sollten hochgelagert werden.","Die Beine der betroffenen Person sollten tiefgelagert werden.","Die Lagerung sollte nach dem Wunsch der betroffenen Person erfolgen (evtl.mit Knierolle und Decke).","","d","","0","0"
"16","Erste Hilfe","Welche der aufgezählten Maßnahmen soll nach einer Verätzung im Magen bereich durchgeführt werden?","Der Person keine Flüssigkeit und Getränke zu trinken geben.","Die Person sofort zum Erbrechen bringen.","Der Person Flüssigkeit in kleinen Schlucken zu trinken geben, kein Erbrechen auslösen.","Das vorgefundene Ätzmittel sofort vernichten.","","c","","0","0"
"17","Erste Hilfe","Bei welcher Verletzung / Erkrankung mit Schockanzeichen soll eine Schocklage durchgeführt werden?","Bei starkem Blutverlust.","Bei einem Herzinfarkt.","Bei einem Schädel-Hirn-Trauma.","Bei einer Unterkühlung.","","a","","0","0"
"18","Erste Hilfe","Welche der nachfolgend aufgezählten Maßnahmen dient dem Freihalten der Atemwege?","Die stabile Seitenlage.","Eine flache Lagerung auf dem Rücken.","Die Schocklage.","Die Fritsch`schen Lagerung.","","a","","0","0"
"19","Erste Hilfe","Welchen Rhythmus wenden Sie bei der HLW an?","30 mal beatmen, 2 mal drücken","15 mal drücken, 2 mal beatmen","15 mal beatmen, 2 mal drücken","30 mal drücken, 2 mal beatmen","","d","","0","0"
"20","Erste Hilfe","Eine verletzte Person ist bewusstlos und die Atmung ist ausreichend. Welche der nachfolgenden Maßnahmen muss durchgeführt werden?","Patient in Schocklage legen.","Patient auf den Rücken legen.","Vorgefundene Position des Patienten wegen evtl. Knochenbrüche belassen.","Patient in die stabile Seitenlage legen.","","d","","0","0"
"21","Erste Hilfe","Welche der genannten Maßnahmen führen Sie bei großflächiger Verbrennung von über 20 % der Körperoberfläche durch?","Die verbrannte Haut entfernen.","Kühlende Salben auftragen.","Ggf. Feuer löschen, betroffene Person ansprechen (Prüfung des Bewusstseins), Notruf veranlassen bzw. absetzen.","Betroffenen sofort zum Hausarzt schicken.","","c","","0","0"
"22","Erste Hilfe","Welche Lagerung bevorzugen Sie bei einer ansprechbaren verletzten Person, die schwere Atemnot hat?","Verletzte Person in Seitenlage bringen.","Verletzte Person flach auf den Rücken legen.","Verletzte Person flach mit einer Knierolle lagern.","Verletzte Person liegend mit erhöhtem Oberkörper (halbsitzend) lagern.","","d","","0","0"
"23","Erste Hilfe","Sie finden eine reglose verletzte Person. Welche Maßnahmen ergreifen Sie zuerst?","Eine Pupillenkontrolle.","Eine Blutdruckkontrolle.","Die Überprüfung der Atmung.","Anschauen, ansprechen, anfassen, Überprüfung der Atmung und ggf. Notruf veranlassen bzw. absetzen.","","d","","0","0"
"24","Erste Hilfe","Bei welchem lebensbedrohlichen Zustand müssen Sie in erster Linie mit dem Einatmen von Fremdkörpern (Aspiration) rechnen?","Bei Bewusstlosigkeit.","Bei einer arteriellen Blutung.","Bei sogenanntem „akutem Bauch“.","Bei einem Herzinfarkt.","","a","","0","0"
"25","Erste Hilfe","Sie finden eine Person in nasser Kleidung, mit blau verfärbten Lippen und verlangsamter Atmung. Wie gehen Sie vor?","Die betroffene Person in eine Decke packen.","Die Kleidung ausziehen und die betroffene Person in eine Decke packen.","Die betroffene Person in eine Decke packen und einen heißen Grog zum Trinken geben.","Die betroffene Person zur Bewegung animieren und ihm warme und zuckerhaltige Getränke geben.","","b","","0","0"
"26","Erste Hilfe","Eine Person ist im Gelände einen Abhang hinuntergestürzt. Die verletzte Person hat einen Schock und keine Wirbelsäulenverletzung, evtl. einen Knöchelbruch und klagt über Atemnot mit Brustschmerzen. Wie lagern Sie diese Person bis zum Eintreffen des Rettungsdienstes?","Die Person in Seitenlage lagern.","Die Person am Boden liegend mit erhöhtem Oberkörper lagern.","Die Person in Schocklage bringen.","Die Person auf keinen Fall bewegen.","","b","","0","0"
